	2009.0417713901377
Joseph Tremba	2000.0
Rajendran M. Sivasankaran	2002.0
Shaolei Ren	2015.0
M. Ishikawa	2011.0
Liefei Xu	2009.0
Beate Neumann	2006.0
Marco Pavan	2014.0
Ling Wu	2006.0
Hao Jiang	2009.6666666666667
Jingjie Ni	2013.0
Inbal Marhaim	2010.0
Yufei Liu	2007.0
Ting-Sheng Lai	2001.0
Tetsuya Yoshida	2005.0
Garud Iyengar	2015.0
Philip H. P. Nguyen	2006.0
Iacopo Masi	2011.5
Rosli Md. Illias	2013.0
Dehong Liu	2009.0
Caspar J. Fall	2003.0
Nadav Ben-Haim	2006.0
Wolfgang Förstner	2007.0
Ghada Safi	2010.5
Meredith Frost	2003.0
Yung-Yu Chuang	2011.0
Jinsong Lu	2009.5
Lothar Bergen	2000.0
Ahmed Elgohary	2013.5
Liwei Chen	2009.5
Jarrad Taylor	2013.0
Yin Zhang	2011.8333333333333
Helmut Grabner	2009.1
Francesc Serratosa	2007.5
Olli Yli-Harja	2003.0
Mehryar Mohri	2009.076923076923
Bong-Jun Yi	2010.0
Chiara Bassetti	2015.0
Tanuja Joshi	2008.0
Ke Wang	2007.0
Himanshu S. Bhatt	2012.0
Haggai Roitman	2011.4285714285713
Bin Zhang	2001.0
James Gips	2001.0
Ming Li 0001	2009.0
Rashid Ansari	2004.6666666666667
Yinglong Zhang	2014.5
Nitendra Rajput	2012.0
Matthew E. Taylor	2010.5
Jiannong Cao	2009.0
Nicholas Bartlett	2010.3333333333333
Stephan Seufert	2010.0
Wen-Yu Lee	2011.0
Robin Schirrmeister	2015.0
Weifu Du	2010.0
Satish K. Tripathi	2001.0
Hui Zhang 0005	2006.5
Hong Xie	2015.0
Qiaozhu Mei	2011.7142857142858
Parmeshwar Khurd	2006.5
Christos Papatheodorou	2000.0
Le Lu	2008.3
Yongmei Michelle Wang	2009.0
Yogesh Rathi	2006.6
Toniann Pitassi	2008.6666666666667
Yan Wang	2010.25
Stefan Magureanu	2014.0
Anastasios D. Doulamis	2011.0
Simone Frintrop	2013.5
Albert Mo Kim Cheng	2002.5
Jared Heinly	2015.0
Hossam E. Abd El Munim	2006.5
Jia-Jian Jiang	2011.0
B. Sumudu U. Mendis	2010.0
Mark Anthony F. Mateo	2008.0
Simone L. Martins	2009.0
Maryam Sorkhi	2011.0
Hongkun Zhao	2013.0
My T. Thai	2014.0
David C. Gibbon	2001.0
Maguelonne Teisseire	2013.0
Pramod P. Wangikar	2012.0
Bo Geng	2010.0
Vania Bogorny	2008.0
Mehmet Ayvaci	2009.0
Guy Lever	2011.0
Guadalupe Canahuate	2008.0
Srinjoy Mitra	2007.0
Ajay Jasra	2007.0
Roland Siegwart	2012.0
Xu Yang	2007.0
M. Smith	2010.0
Hsiao-Chia Peng	2013.5
Donald Glowinski	2008.0
Ronald Rosenfeld	2003.0
Martin Erwig	2002.0
Yiqun Xie	2014.0
Liang Huai Yang	2004.0
Rajen Subba	2013.0
Erick Cantú-Paz	2007.3333333333333
Marios Savvides	2009.4736842105262
Samee Ullah Khan	2009.0
B. N. Ranganath	2008.0
Wallapak Tavanapong	2003.0
Jiang-Zhong Cao	2012.0
Maggy Anastasia Suryanto	2009.0
Navneet Panda	2005.6666666666667
Dimitrios Gunopulos	2006.36
Qi Lu	2011.0
Shutao Li	2007.0
Kwangmin Choi	2006.0
Giuseppe Ottaviano	2014.25
Malcolm J. A. Strens	2002.0
Robert Peharz	2012.5
Nada Lavrac	2006.2
Alexander Kogan	2000.0
Szymon Rusinkiewicz	2009.6666666666667
Thomas F. El-Maraghi	2001.0
Qiyun Zhao	2014.0
Naoufel Werghi	2015.0
Asuki Kouno	2011.0
Hyun-Wook Woo	2010.0
Nicolas Lachiche	2003.0
Kunmei Wen	2014.0
Pusheng Zhang	2005.5
Lance R. Williams	2001.0
Garisha Chowdhary	2015.0
Juck-Sik Lee	2007.0
Thomas Kuo	2010.0
Sairam Gurajada	2012.5
Sam Friedman	2012.0
Jeffrey Shih-Chieh Chu	2010.0
Sakti Pramanik	2008.75
Kexin Shi	2015.0
Giang Tran	2015.0
Bin Dai	2013.5
Sukree Sinthupinyo	2004.0
Letizia Tanca	2007.5
Jian Wen	2006.0
Jun-Wun Jou	2006.0
Stuart A. Sutton	2002.0
Haruhiko Shirai	2007.0
Kimmo Roimela	2011.0
Michael Kaufmann 0001	2007.0
Stefanie Zlomek	2010.0
Nirmal Pal	2004.0
Wei Guan	2011.0
Sampath Kannan	2004.0
Walter Dempsey	2012.0
David Demirdjian	2006.0
Zhibo Guo	2007.0
Shai Fine	2003.5
Ch. Ravikanth	2007.0
Zhiwu Lu	2009.0
Jeff Ellen	2001.0
Hanna Wasyluk	2008.0
Guangtao Wang	2012.5
Yuzo Marukawa	2003.0
Craig A. Knoblock	2006.4285714285713
Tatsuo Kozakaya	2008.5
Kiran Prabhakara	2005.0
Chenxi Zhang	2014.0
